id,symbol,name,price_usd,market_cap_b,volume_24h,change_24h_pct,trend,extracted_at
bitcoin,btc,Bitcoin,78617.0,1578.625858753,30533828063.0,-0.62234,Down,2026-08-31T11:17:56.776589
ethereum,eth,Ethereum,2464.08,297.366609859,15369153571.0,-1.84875,Down,2026-08-31T11:17:56.776589
tether,usdt,Tether,0.999756,183.331388161,56017132918.0,-0.01134,Down,2026-08-31T11:17:56.776589
binancecoin,bnb,BNB,689.14,91.771926081,787099035.0,-1.75475,Down,2026-08-31T11:17:56.776589
ripple,xrp,XRP,1.37,86.016213096,2394768116.0,-2.66804,Down,2026-08-31T11:17:56.776589
usd-coin,usdc,USDC,0.99985,73.733704602,16155294448.0,0.002,Up,2026-08-31T11:17:56.776589
solana,sol,Solana,102.59,60.019391147,3741816984.0,-4.08032,Down,2026-08-31T11:17:56.776589
tron,trx,TRON,0.332839,31.595341749,511768587.0,-2.22525,Down,2026-08-31T11:17:56.776589
hyperliquid,hype,Hyperliquid,82.07,18.260332606,1002206107.0,-1.90671,Down,2026-08-31T11:17:56.776589
zcash,zec,Zcash,843.61,14.26587544,917194218.0,-3.04011,Down,2026-08-31T11:17:56.776589
dogecoin,doge,Dogecoin,0.082803,12.893728811,692807837.0,-3.55174,Down,2026-08-31T11:17:56.776589
rain,rain,Rain,0.01706786,12.104079355,37558928.0,-2.76491,Down,2026-08-31T11:17:56.776589
monero,xmr,Monero,525.14,9.853598075,238063106.0,3.92706,Up,2026-08-31T11:17:56.776589
usds,usds,USDS,0.999919,9.808155757,109936337.0,0.0061,Up,2026-08-31T11:17:56.776589
leo-token,leo,LEO Token,9.64,8.870399288,199733.0,0.70035,Up,2026-08-31T11:17:56.776589
whitebit,wbt,WhiteBIT Coin,72.37,8.536598146,126414041.0,-0.96022,Down,2026-08-31T11:17:56.776589
chainlink,link,Chainlink,11.37,8.506986197,404052831.0,-2.18737,Down,2026-08-31T11:17:56.776589
cardano,ada,Cardano,0.195629,7.336966719,381817020.0,-4.62031,Down,2026-08-31T11:17:56.776589
stellar,xlm,Stellar,0.176081,6.107319578,136170436.0,-2.90716,Down,2026-08-31T11:17:56.776589
bitcoin-cash,bch,Bitcoin Cash,245.11,4.923150903,128812869.0,-3.5174,Down,2026-08-31T11:17:56.776589
canton-network,cc,Canton,0.117234,4.624474707,10565758.0,-1.30577,Down,2026-08-31T11:17:56.776589
dai,dai,Dai,1.0,4.581269616,312289565.0,0.00819,Up,2026-08-31T11:17:56.776589
usd1-wlfi,usd1,USD1,0.999553,4.191701094,1501060423.0,0.01257,Up,2026-08-31T11:17:56.776589
ethena-usde,usde,Ethena USDe,0.999644,4.11139397,84378292.0,-0.03101,Down,2026-08-31T11:17:56.776589
litecoin,ltc,Litecoin,48.53,3.763791228,220221085.0,-3.09642,Down,2026-08-31T11:17:56.776589
the-open-network,gram,Gram (prev. Toncoin),1.34,3.710850401,32734929.0,-3.10664,Down,2026-08-31T11:17:56.776589
global-dollar,usdg,Global Dollar,0.999873,3.341266935,866284765.0,-0.0136,Down,2026-08-31T11:17:56.776589
hedera-hashgraph,hbar,Hedera,0.07333,3.214045373,54286138.0,-2.83741,Down,2026-08-31T11:17:56.776589
uniswap,uni,Uniswap,5.13,3.195771428,628426213.0,-2.26863,Down,2026-08-31T11:17:56.776589
